Date,City,Score,Review_usage,Review_pro,Review_contra,Review_comment,Like_count,Dislike_counts,Shop_review
4 дня назад,Златоуст,5,Не указано,"Оригинальный Iphone, новый, все проверки прошёл, очень нравиться)",не обнаружено,"Спасибо большое продавцу за качественный оригинальный товар, довольна и очень рада покупке :) Доставка вовремя, спасибо!",0,0,5G Store
4 дня назад,Кольчугино,5,Не указано,"О достоинствах яблока можно говорить вечно) бывалые знают. Единственное ну очень долго ждала в пвз, заказ шел 2 недели. Я думала хотя бы раньше доставят, но нет сборка продавца висела до момента доставки когда оставалось 3 дня. Все остальное супер, довольна как слон. Особенно порадовала зарядка, заряжаю 1 раз в сутки при всем том что я в телефоне постоянно что то делаю. Камера и звучание динамиков тоже огонь, после своего Xr это просто небо и земля.",Нет,Не указано,0,0,iBox.Store
4 дня назад,Кольчугино,5,Не указано,"О достоинствах яблока можно говорить вечно) бывалые знают. Единственное ну очень долго ждала в пвз, заказ шел 2 недели. Я думала хотя бы раньше доставят, но нет сборка продавца висела до момента доставки когда оставалось 3 дня. Все остальное супер, довольна как слон. Особенно порадовала зарядка, заряжаю 1 раз в сутки при всем том что я в телефоне постоянно что то делаю. Камера и звучание динамиков тоже огонь, после своего Xr это просто небо и земля.",Нет,Не указано,0,0,iBox.Store
4 дня назад,Выборг,5,Не указано,"Отличный телефон. Оригинал. Все пришло целое, упаковка не повреждена. Телефон работает на ура!",Нет,Не указано,0,0,iBox.Store
4 дня назад,ВНИИССОК,5,Не указано,"Новый телефон и все четко работает, спасибо продавцу",Нету,Не указано,0,0,RUBIN-OPT
4 дня назад,Посёлок имени Тельмана,5,Не указано,Оригинал,Нет,Муж доволен подарком,0,0,SPLAV
4 дня назад,Екатеринбург,5,Не указано,"Сочный красный цвет, шустро работает, неплохая камера",Не указано,"Брала у продавца DEW. Пришел в нужной комплектации, оригинальный, ранее не был активирован, был хорошо упакован и опломбирован.",0,0,DEW
4 дня назад,Тольятти,5,Не указано,Не указано,Не указано,айфон из Индии. жена осталась довольна,0,0,БОЛТУН
5 дней назад,Красково,5,Не указано,Главное удобно лежит в руке и шустрый,Пока не обнаружено,Не указано,0,0,1Store.
5 дней назад,Москва,5,Не указано,Шикарно всем советую,Пока не видел,Не указано,0,0,World Fashion
5 дней назад,Октябрьский,5,Не указано,Не указано,Не указано,Отлично,0,0,Smart Magic
5 дней назад,Балашиха,5,Не указано,"Айфон как айфон, оригинал, Индия.",Пока не заметила,"Пишу отзыв для магазина ispot специально для тех, кто сомневается где покупать. Ребят советую! Все пришло быстро и качественно.",0,0,iSpot
5 дней назад,Люберцы,5,Не указано,Все,Нет,Все нравится,0,0,store59
5 дней назад,Балашиха,5,Не указано,"Айфон как айфон, оригинал, Индия.",Пока не заметила,"Пишу отзыв для магазина ispot специально для тех, кто сомневается где покупать. Ребят советую! Все пришло быстро и качественно.",0,0,iSpot
5 дней назад,Санкт-Петербург,5,несколько месяцев,"телефон отличный , оригинал","их нет, это айфон","Телефон оригинал,новый не активированный, проверил. Батарея 100%. Покупкой доволен на все 100, продавца рекомендую.",0,0,UNOTECHNO
5 дней назад,Химки,5,Не указано,"Прекрасный телефон . Пришел новый , в использовании тоже все супер )",Нет такого . Все прекрасно,"Первый раз заказывала онлайн , боялась , но оказалось напрасно ) спасибо поставщику . Телефон оригинальный.",0,0,ОНЛАЙНТРЕЙД.РУ
5 дней назад,Азов,5,Не указано,"Отличный смартфон, всё хорошо",Нет,Не указано,0,0,AlohaPhone
Не указано,Не указано,5,Не указано,Все ок,Нужен специальный блок питания,Не указано,0,0,Неизвестно
5 дней назад,Новошахтинск,1,Не указано,"Телефон пришел идеальный, НО через две недели я столкнулась с очень интересным явлением. Ехала в автобусе, разговаривала по телефону, закончив разговор я обнаружила внушительную зеленую полосу на экране и сам он(экран) порозовел. Телефону было 2 недели, пользовались аккуратно. Повелись на надпись 90 дней гарантии, однако, никто его обратно принимать не хочет. Ремонт 34000 рублей, по факту теперь пользуешься не айфоном 14, а тапком за внушительную сумму!",Описаны выше,"Товар не оправдал ожиданий, просто попали на деньги…",0,0,White Store
5 дней назад,Тула,5,Не указано,все,нету,"телефон оригинал,новый",0,0,1Store.
5 дней назад,Уфа,5,Не указано,"Пришло день в день, в пакете было стекло, чехол и три шоколадки (спасибо, приятно)","Телефон для китайского рынка, поэтому eSIM отсутствует, но симки можно использовать две. Не скажу, что для меня это существенный недостаток, но может кому-то будет важно.","Все супер, советую",0,0,Sansara Store
5 дней назад,Екатеринбург,5,Не указано,Замечательный телефон,"Нет недостатков, всё устраивает.","Ожидания оправданы, проблем с заказом не было.",0,0,СП-Компьютер
5 дней назад,Екатеринбург,5,Не указано,Замечательный телефон,"Нет недостатков, всё устраивает.","Ожидания оправданы, проблем с заказом не было.",0,0,СП-Компьютер
5 дней назад,Москва,5,Не указано,"Быстрая доставка. Телефон отличный. Брала на подарок, упаковка новая",Нет,Не указано,0,0,EXCESSORIZ
